it	posterior	prior	PP_lik	BD_lik	q_rate	alpha	k_birth	k_death	root_age	death_age	tot_length	Canis_TS	Canis_adustus_TS	Canis_anthus_TS	Canis_apolloniensis_TS	Canis_armbrusteri_TS	Canis_aureus_TS	Canis_cedazoensis_TS	Canis_dirus_TS	Canis_edwardii_TS	Canis_familiaris_TS	Canis_ferox_TS	Canis_latrans_TS	Canis_lepophagus_TS	Canis_lupus_TS	Canis_mesomelas_TS	Canis_proplatensis_TS	Canis_(Pseudalopex)_TS	Canis_rufus_TS	Canis_thooides_TS	Pseudalopex_gymnocercus_TS	Canis_TE	Canis_adustus_TE	Canis_anthus_TE	Canis_apolloniensis_TE	Canis_armbrusteri_TE	Canis_aureus_TE	Canis_cedazoensis_TE	Canis_dirus_TE	Canis_edwardii_TE	Canis_familiaris_TE	Canis_ferox_TE	Canis_latrans_TE	Canis_lepophagus_TE	Canis_lupus_TE	Canis_mesomelas_TE	Canis_proplatensis_TE	Canis_(Pseudalopex)_TE	Canis_rufus_TE	Canis_thooides_TE	Pseudalopex_gymnocercus_TE
10000	-1410.181793879316	-14.875785087362907	-1330.9710045951865	-64.335004196766704	7.7842245162058079	1.0	1	1	22.7221573991323	0.0	93.593767523955322	13.833311768617449	3.3307796194895136	1.071482241436271	1.9822211861849981	1.5737784908421872	3.3128297420951958	1.4150679490035361	2.7580478761041993	22.7221573991323	2.2367422644570372	9.3072240939480952	4.2227253956705093	5.0339367109851345	3.5949178160633277	5.3039082836832385	2.1707558829704228	1.3467013856797949	4.4855843340362318	4.3648964811930213	1.2459428873795337	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7190158408683445	0.0	0.0	0.0	0.00017838621553510018
11000	-1394.8482779889312	-14.770898618816409	-1315.8697290615182	-64.207650308596612	7.733887226225713	1.0	1	1	22.929964009905913	0.0	91.866706754992038	13.755122438637555	3.343424683655889	1.0929446564747205	1.7074405843061276	1.8218600349003602	3.2137051225546229	1.2700594666740488	2.5114444221037706	22.929964009905913	1.9812661595005034	9.1616099961675115	4.1305932256181794	4.9549586797155571	3.4745978584153678	5.4483589598735964	2.0088598682756986	1.277953148648753	4.0373186589546002	4.344372256314859	1.2986085718936398	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8975276034509014	0.0	0.0	0.0	0.00017838621553510018
12000	-1411.2492049344235	-17.23684172654778	-1328.2424814611331	-65.769881746742612	7.790153746721213	1.0	2	1	22.760017790417674	0.0	93.271945353714884	13.698336610530637	3.4841931704205189	1.2462909512458726	1.8912463902684205	2.127241560441127	3.0222574489485856	1.3401794623428576	2.4097809325604334	22.760017790417674	2.0886772872189354	8.9349742084530241	4.1032353334497929	5.4149788114896333	3.5989254423708767	5.2959757231875049	2.0650980056269521	1.6263969153937425	4.4055076967088116	4.4220967433809006	1.1463081016101349	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8095447882032243	0.0	0.0	0.0	0.00017838621553510018
13000	-1407.9020294815523	-14.706541817762046	-1327.0261207265087	-66.169366937281666	7.6571662871032213	1.0	1	1	22.833674538470444	0.0	93.27646447974854	13.706951311829094	3.6936008841725161	1.0565445529717856	1.838386276183271	1.6803013846199906	3.1139543557578353	1.4162291287634232	2.6919809694497157	22.833674538470444	2.035197786706997	8.9301345360556112	4.4375543479768638	5.385806512950019	3.4620965427523185	5.4786979218990988	2.0516171001737602	1.2779172498643523	4.3517192695249793	4.4156184491087309	1.3513655037205565	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9326556990545101	0.0	0.0	0.0	0.00017838621553510018
14000	-1406.916291702559	-15.069919200777324	-1326.8805559059062	-64.965816595875367	7.993869011037809	1.0	1	1	22.889664018697545	0.0	93.160558380244595	13.743635349497431	3.3428013620847326	1.0719067488741234	1.7705320183099511	1.9641098441075999	3.0979073970698252	1.5227726544882101	2.7870893558613488	22.889664018697545	2.1266822188021766	8.9859253420830232	4.2071165354447508	5.0320603433147069	3.5247818429132067	5.255595433063136	2.1430716548637267	1.9020960120124979	4.1156410587932299	4.3287142721186971	1.2432231583065803	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8945397963135766	0.0	0.0	0.0	0.00017838621553510018
15000	-1400.1304226412556	-15.094536831242564	-1319.9381697526826	-65.097716057330445	7.9639140063389888	1.0	1	1	22.862405127861674	0.0	92.361820770145286	13.738411451949723	3.5576243475706715	1.0786706484118027	1.7059774140791961	1.6803640643705513	3.0815480237938706	1.4421728501655551	2.3772661992944606	22.862405127861674	2.0846850903720968	8.8758460539233006	4.4307195280650209	5.1723807379722606	3.5442533585199061	5.3871656844015545	2.1305927295428555	1.3397937134994526	4.0368659052431815	4.3901976671795957	1.304964712253655	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8598560941767825	0.0	0.0	0.0	0.00017838621553510018
16000	-1407.4647776847144	-14.674079579435915	-1326.3557437724492	-66.434954332829193	7.6719602442272894	1.0	1	1	22.856306940987881	0.0	93.151334525322426	13.744921538419687	3.598641203917214	1.077810022256541	1.7696849330932585	1.605111833547616	3.0538826914158856	1.8235099613591168	2.9519441947473131	22.856306940987881	1.9975225617620871	8.867285480241982	4.1624888913369977	4.9524553197671137	3.7116808169779385	5.5183694258989604	2.1684689574933946	1.4050794228279657	4.1492941331941431	4.3109121397936256	1.261775838226515	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8355833377944879	0.0	0.0	0.0	0.00017838621553510018
17000	-1397.2819018062282	-15.543299870385457	-1315.8127746135265	-65.925827322316309	8.401782714754086	1.0	1	1	23.006232365824019	0.0	91.482255382674282	13.795204141924808	3.3525815587784811	1.0703204411367953	1.6810278764361035	1.5879637208498529	3.1559476495490912	1.2852495553069714	2.3828362735976589	23.006232365824019	2.0906179089975288	8.8854112455905128	4.1290596404540096	5.0513933627697867	3.5705847333218657	5.2786549261269897	2.0676739916098597	1.405129012024773	4.0990025968758559	4.2854324749701389	1.2396090318847433	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9369594343063463	0.0	0.0	0.0	0.0006676331164184356
18000	-1403.2696650167184	-15.371346809011808	-1322.8607729050152	-65.037545302691342	8.2913023860298214	1.0	1	1	22.798810786090922	0.0	92.232418162689697	13.712504149857143	3.4978328395865237	1.2186622280214001	1.9041530046033681	1.8464069067810684	3.1940653082827115	1.3450236718445014	2.3926932797604756	22.798810786090922	1.9863496273203944	9.1152562252667675	4.1532550934858934	5.0172117387195208	3.5258674223381101	5.2985050890730951	1.9850528155947345	1.3489395367100725	4.0747768578660439	4.3740899241026332	1.2114142665989669	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7677349181654325	0.0	0.0	0.0	0.0006676331164184356
19000	-1402.5509614191751	-14.87265108076849	-1323.0578072126193	-64.620503125787309	7.8335845513112519	1.0	1	1	22.767365358759871	0.0	92.773897544806829	13.753202809931302	3.4070052160743787	1.2313191548555689	2.0892334228661369	1.8792130300703938	3.1390434249756605	1.4273266852703581	2.3779638043271922	22.767365358759871	1.9746129954539182	9.2147468692170005	4.2395350785955959	5.0480206210006457	3.6567587715948573	5.2557999403032483	2.0003864088492973	1.4062217453807846	4.1389133549709545	4.4809445608256722	1.2326895031333169	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9456875206001252	0.0	0.0	0.0	0.0006676331164184356
20000	-1399.8724262386495	-14.850168228039223	-1321.1565877687613	-63.865670241849102	7.7754356960878335	1.0	1	1	22.771246193852178	0.0	92.274976964381366	13.700126821005108	3.3379775722206797	1.1389755258907757	1.7169330525645519	1.6354415224090864	3.4492289765032145	1.2801232698919955	2.4245844962828649	22.771246193852178	1.9801487498698123	8.8829487493226793	4.1087957780947288	5.5367035086193788	3.6098950929097504	5.3916454794005988	2.2053656487594826	1.2838033420674269	4.1739564905174174	4.352375447426386	1.1478871218086666	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8524681839862052	0.0	0.0	0.0	0.0006676331164184356
21000	-1401.007209299212	-14.493097658535252	-1321.5288913897577	-64.985220250918928	7.4608726858132632	1.0	1	1	22.7010117846349	0.0	92.342822223781525	13.718366169047746	3.3982361455794488	1.0821282200660431	1.8276659034152714	1.8866891798503922	3.1131750696823244	1.3438886467009508	2.4773422542572319	22.7010117846349	2.1842894942919129	8.9387954342776546	4.2253618982744046	5.0155104184605594	3.5264984836063391	5.4487588901561281	2.0023801593286108	1.4933687542310758	4.177049625554158	4.307279723049489	1.3161494422709279	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8404057819048321	0.0	0.0	0.0	0.0006676331164184356
22000	-1397.544511364639	-15.022480676093942	-1318.2911850567186	-64.230845631826469	7.9601197209702104	1.0	1	1	22.811420508456141	0.0	92.084512463266975	13.741856244545504	3.4568693616687378	1.1846266726435277	1.8792394175897873	1.5730337720780971	3.1187514581409141	1.2680617075812832	2.4948214138997642	22.811420508456141	2.0804959135666699	9.2556522645070327	4.1800500111626118	4.9780384692268962	3.4425734644271708	5.2780911638375834	2.1232625984919054	1.2838631665410292	4.0989909161665583	4.300938392879905	1.2867164562584008	5.0057932788368951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7521232193533276	0.0	0.0	0.0	0.0006676331164184356
