it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	
10000	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.23879705526341163	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.028391527455380802	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085	0.21040552780803085
11000	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.19241093541092963	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.049637293639250089	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953	0.14277364177167953
12000	0.3368079579800014	0.3368079579800014	0.3368079579800014	0.3368079579800014	0.3368079579800014	0.3368079579800014	0.3368079579800014	0.3368079579800014	0.3368079579800014	0.3368079579800014	0.16515344701491072	0.16515344701491072	0.16515344701491072	0.16515344701491072	0.16515344701491072	0.16515344701491072	0.16515344701491072	0.16515344701491072	0.16515344701491072	0.16515344701491072	0.16515344701491072	0.16515344701491072	0.16515344701491072	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.061518127168329502	0.27528983081167191	0.27528983081167191	0.27528983081167191	0.27528983081167191	0.27528983081167191	0.27528983081167191	0.27528983081167191	0.27528983081167191	0.27528983081167191	0.27528983081167191	0.10363531984658123	0.10363531984658123	0.10363531984658123	0.10363531984658123	0.10363531984658123	0.10363531984658123	0.10363531984658123	0.10363531984658123	0.10363531984658123	0.10363531984658123	0.10363531984658123	0.10363531984658123	0.10363531984658123
13000	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.13378759564476156	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.023055287129857979	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358	0.11073230851490358
14000	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.25069195748153372	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.057887827052675755	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797	0.19280413042885797
15000	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.29977546730668758	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.037633258970467653	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993	0.26214220833621993
16000	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.13241927509282933	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.0505826373849897	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638	0.081836637707839638
17000	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.31387752018224402	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.062526397454049837	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415	0.25135112272819415
18000	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.25160585752985315	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.065825718565827682	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545	0.18578013896402545
19000	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.16583682954569481	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.034333821360436688	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812	0.13150300818525812
