it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	
10000	0.21864167631432044	0.21864167631432044	0.21864167631432044	0.21864167631432044	0.21864167631432044	0.21864167631432044	0.21864167631432044	0.21864167631432044	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.24146246343921923	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.02502325169234422	0.1936184246219762	0.1936184246219762	0.1936184246219762	0.1936184246219762	0.1936184246219762	0.1936184246219762	0.1936184246219762	0.1936184246219762	0.21643921174687503	0.21643921174687503	0.21643921174687503	0.21643921174687503	0.21643921174687503	0.21643921174687503	0.21643921174687503	0.21643921174687503	0.21643921174687503	0.21643921174687503	0.21643921174687503	0.21643921174687503	0.21643921174687503	0.21643921174687503	0.21643921174687503
11000	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.28039429271173061	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.062252723981434603	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296	0.218141568730296
12000	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.17581335556744426	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.046820640495830831	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342	0.12899271507161342
13000	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.24085337030139017	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.037722868385217628	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255	0.20313050191617255
14000	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.26229955562179585	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.091631782718458787	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707	0.17066777290333707
15000	0.15472878311480362	0.15472878311480362	0.15472878311480362	0.15472878311480362	0.15472878311480362	0.15472878311480362	0.15472878311480362	0.15472878311480362	0.15472878311480362	0.20350864440161887	0.20350864440161887	0.20350864440161887	0.20350864440161887	0.20350864440161887	0.20350864440161887	0.20350864440161887	0.20350864440161887	0.20350864440161887	0.20350864440161887	0.20350864440161887	0.20350864440161887	0.20350864440161887	0.20350864440161887	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.040735236528056634	0.11399354658674699	0.11399354658674699	0.11399354658674699	0.11399354658674699	0.11399354658674699	0.11399354658674699	0.11399354658674699	0.11399354658674699	0.11399354658674699	0.16277340787356223	0.16277340787356223	0.16277340787356223	0.16277340787356223	0.16277340787356223	0.16277340787356223	0.16277340787356223	0.16277340787356223	0.16277340787356223	0.16277340787356223	0.16277340787356223	0.16277340787356223	0.16277340787356223	0.16277340787356223
16000	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.27815024988453418	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.057647851100295806	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838	0.22050239878423838
17000	0.24592058228739322	0.24592058228739322	0.24592058228739322	0.24592058228739322	0.24592058228739322	0.24592058228739322	0.24592058228739322	0.24592058228739322	0.24592058228739322	0.24592058228739322	0.24592058228739322	0.24592058228739322	0.24592058228739322	0.24592058228739322	0.19040512589346456	0.19040512589346456	0.19040512589346456	0.19040512589346456	0.19040512589346456	0.19040512589346456	0.19040512589346456	0.19040512589346456	0.19040512589346456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.052806124024713456	0.19311445826267976	0.19311445826267976	0.19311445826267976	0.19311445826267976	0.19311445826267976	0.19311445826267976	0.19311445826267976	0.19311445826267976	0.19311445826267976	0.19311445826267976	0.19311445826267976	0.19311445826267976	0.19311445826267976	0.19311445826267976	0.1375990018687511	0.1375990018687511	0.1375990018687511	0.1375990018687511	0.1375990018687511	0.1375990018687511	0.1375990018687511	0.1375990018687511	0.1375990018687511
18000	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.26479609621424877	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.02329208381531411	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465	0.24150401239893465
19000	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.21640656556851764	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.019935115877263224	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441	0.19647144969125441
