it	posterior	prior	PP_lik	BD_lik	q_rate	alpha	k_birth	k_death	root_age	death_age	tot_length	Canis_TS	Canis_adustus_TS	Canis_anthus_TS	Canis_apolloniensis_TS	Canis_armbrusteri_TS	Canis_aureus_TS	Canis_cedazoensis_TS	Canis_dirus_TS	Canis_edwardii_TS	Canis_familiaris_TS	Canis_ferox_TS	Canis_latrans_TS	Canis_lepophagus_TS	Canis_lupus_TS	Canis_mesomelas_TS	Canis_proplatensis_TS	Canis_(Pseudalopex)_TS	Canis_rufus_TS	Canis_thooides_TS	Pseudalopex_gymnocercus_TS	Canis_TE	Canis_adustus_TE	Canis_anthus_TE	Canis_apolloniensis_TE	Canis_armbrusteri_TE	Canis_aureus_TE	Canis_cedazoensis_TE	Canis_dirus_TE	Canis_edwardii_TE	Canis_familiaris_TE	Canis_ferox_TE	Canis_latrans_TE	Canis_lepophagus_TE	Canis_lupus_TE	Canis_mesomelas_TE	Canis_proplatensis_TE	Canis_(Pseudalopex)_TE	Canis_rufus_TE	Canis_thooides_TE	Pseudalopex_gymnocercus_TE
10000	-1398.9740756189183	-17.059876645082731	-1317.9580249442558	-63.956174029579643	7.5023192061163471	1.0	2	1	22.702845788596086	0.0	91.47411075987489	13.681922273672326	3.5857929321879833	1.3257257251800174	1.7846310658293905	1.5773933792916439	3.1229965301603873	1.2984509101187665	2.4869716328796776	22.702845788596086	2.0040967779879297	8.8896069840466154	4.123340698081372	4.9689992641503657	3.5309623021027532	5.2843328396650895	1.9851568086315898	1.3474421107388443	4.2396949765685008	4.2872999889424257	1.1474068885163846	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8991405732018993	0.0	0.0	0.0	0.0017884622748834357
11000	-1402.759536466591	-14.526151870067736	-1322.878473512128	-65.354911084395326	7.4587195688430992	1.0	1	1	22.69107709206337	0.0	92.205917533604577	13.751607411701551	3.3245666257938455	1.0764017273899689	1.742375364790961	1.6636468864969114	3.3958599582575673	1.382995639309452	2.5697817650797687	22.69107709206337	1.992457717142075	9.0550620830198572	4.3113737567201618	5.0434164964394519	3.4553048551645023	5.4428368956017845	2.0500931749421727	1.4599759958402641	4.0681568843583795	4.4097358499767001	1.1536979168749952	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8326880190878252	0.0	0.0	0.0	0.0017884622748834357
12000	-1406.9400066908647	-15.177566615957414	-1327.1564095346805	-64.606030540226811	8.1419516418274558	1.0	1	1	22.703135618877766	0.0	92.775995430572436	13.759834351715066	3.5806196611169807	1.3416927859374905	1.6662562237747682	1.6718312132001438	3.4274105565729727	1.7048645256405579	2.5882148010150967	22.703135618877766	2.0978865016119492	8.9945492498906976	4.1127383444379486	4.9540829781070759	3.6810153424787444	5.3641367933089175	2.0476354690634753	1.315801913851524	4.2153173245944489	4.3150034958894103	1.1308779841721339	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8950911604133998	0.0	0.0	0.0	0.0017884622748834357
13000	-1400.8933951803119	-14.985657881067642	-1321.8965946921542	-64.011142607090051	7.9079754192640488	1.0	1	1	22.685452790571116	0.0	92.2811555485996	13.726437209994847	3.3784068502003208	1.1646663080218009	1.6908189332606138	1.6017249478156095	3.1198949560094662	1.2787669461658444	2.5622757260280018	22.685452790571116	1.9682569656661144	9.0262960957764893	4.4254282677604158	5.1821472561310848	3.7645871521447849	5.3399598203166052	2.0881488776987531	1.3720266058499948	4.0709015209610779	4.5289783951952733	1.1832701725652319	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8754717052624903	0.0	0.0	0.0	0.0017884622748834357
14000	-1395.079850440771	-14.590935986977893	-1314.1534252168742	-66.335489236918875	7.5290568713106252	1.0	1	1	22.955987465276287	0.0	91.54373382056967	13.718094364543052	3.3158037803153326	1.1139871728820023	1.6781313456543976	1.5710208554372369	3.0662078028596413	1.3254528219345421	2.4341607510003351	22.955987465276287	2.180179938547619	9.0072650935690621	4.234372440312951	4.9708308893380666	3.6057520384891864	5.2623716600929917	2.0070188815825318	1.3435566806891512	4.1147161530457703	4.4021315225670445	1.1745066049463779	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9374943661339197	0.0	0.0	0.0	0.00028999438353503274
15000	-1405.6549332415332	-17.304474233658059	-1323.2547150967166	-65.095743911158479	7.8974051798500495	1.0	2	1	22.706362798804513	0.0	92.46245736139393	13.729431436259611	3.433951350931769	1.4719640351438532	1.7377550847733292	1.680463423329718	3.0634275109048468	1.4719758370264864	2.4470080615848873	22.706362798804513	1.9893722025378682	8.9412000644859866	4.3742567402952117	5.0610598028111342	3.6249810836951033	5.2930375422698557	2.068766697704385	1.3956614796692275	4.2570411311135565	4.4664616621616968	1.2075619482879449	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9589624560170567	0.0	0.0	0.0	0.00028999438353503274
16000	-1401.8359476923813	-15.429848503512197	-1321.2784984821537	-65.127600706715384	8.3278899739947487	1.0	1	1	22.731169973268059	0.0	92.244467168159929	13.75603766303807	3.5038066077498624	1.1979990692978537	1.6877793887679864	1.7075600188295743	3.063618899030967	1.4764055181664026	2.5994750117150511	22.731169973268059	2.1147194165520169	9.229901226120873	4.343579437271651	4.9928705427144884	3.5565090624528461	5.2986200191516248	1.9917660991578798	1.3311203753272367	4.1246565437585003	4.2827445185297508	1.1458588267819498	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.891410973142726	0.0	0.0	0.0	0.00028999438353503274
17000	-1401.2909350960949	-17.929206585237878	-1319.0207145806662	-64.341013930190911	8.5071242441034585	1.0	2	1	22.729115788550491	0.0	92.149139907339261	13.715473583386537	3.5839596150002468	1.1615828673828235	1.7043667951703174	1.756213417726376	3.1645731071193528	1.4345101204719397	2.4177571181370419	22.729115788550491	2.0545151690449486	8.9547766119904253	4.1536924768975894	4.9890467133607572	3.5167308414617402	5.34538414856031	1.9862764718421437	1.3243354907020835	4.2395722706420234	4.292487621476659	1.5786779253257537	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9535881705302927	0.0	0.0	0.0	0.00028999438353503274
18000	-1407.9425995174715	-14.71614628371656	-1328.4405395877282	-64.785913646026756	7.5918603936981182	1.0	1	1	22.880872622037995	0.0	93.48208772457923	13.716111235538893	3.3349501453805757	1.0750105540883896	2.0318594190881809	2.373306122832322	3.0801658720544678	1.4672886470856081	2.4175944125423392	22.880872622037995	2.2043037841330215	9.2083236567682452	4.186261135199846	5.0364264483396868	3.5022365164335838	5.710776169726973	2.0616483100115275	1.3463471969426748	4.1188720104368368	4.3229737817740546	1.294737600821992	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8876578402779638	0.0	0.0	0.0	0.00028999438353503274
19000	-1405.7258675231935	-15.231029085453603	-1326.1861085315279	-64.308729906211965	8.1156963166810172	1.0	1	1	22.726709483065715	0.0	92.878177330398771	13.674423239348616	3.4800816673040953	1.3700323096051052	1.6869508178467516	1.8241744899168859	3.2310857958200776	1.2570333416868396	2.3778640402908957	22.726709483065715	2.1462489001942981	8.86893344729814	4.2299864470032338	5.5237121043628843	3.6194134353764653	5.2582550014535281	2.046527504134521	1.3956880246440009	4.2633654283123175	4.6628481401480162	1.1525488602339826	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9173850712675908	0.0	0.0	0.0	0.00028999438353503274
20000	-1406.8734099824615	-17.024920009611549	-1325.8617402543714	-63.98674971847845	7.5898110320006351	1.0	2	1	22.878236917161583	0.0	93.072343772034245	13.711456423432073	3.4096579531969362	1.1919341796109242	1.7362760242414241	1.6239531151587516	3.405088073073343	1.2986934593271144	2.5619838976172722	22.878236917161583	2.3949241298180945	8.8807154802178498	4.248121356262458	4.993386149006132	3.6721613488072729	5.4732119969752491	2.1486598878661067	1.3469304295961402	4.1515116245662913	4.4583061045866099	1.2323018165255144	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7448465186329221	0.0	0.0	0.0	0.00028999438353503274
21000	-1406.3230698732395	-17.021259552779885	-1324.1440236631897	-65.15778665726998	7.7123866851669414	1.0	2	1	22.760778221067088	0.0	92.802047101585501	13.674091338682015	3.5401267291702374	1.2203141605581589	1.6643325950541596	1.93689400264875	3.1313218662713767	1.2757038951605908	2.483545052790685	22.760778221067088	2.3408717315422263	9.0654034781622137	4.1257182240219707	4.9503875627630425	3.7506666188051563	5.2633158525658645	2.1081123748398287	1.4200209333271634	4.0841128216941085	4.3203960811217366	1.4387919411297481	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7528264442859927	0.0	0.0	0.0	1.8535081626391489e-06
22000	-1399.8795681499353	-14.647141106428153	-1320.2354812375399	-64.996945805967243	7.613222392800493	1.0	1	1	22.728027339420223	0.0	92.441783820985364	13.708591544683474	3.3300146081639665	1.0775051361629264	1.7480151133421673	1.7431045184882223	3.2931273016011184	1.3735290566508418	2.4932874537080743	22.728027339420223	2.0223852747948166	8.8702165057248497	4.1514452160985948	4.9804087222181996	3.7232558939560603	5.6407494214540197	2.0039226532693903	1.3285093534823798	4.5560542510325401	4.4160980387388147	1.2026525718496042	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9490842183502828	0.0	0.0	0.0	1.8535081626391489e-06
23000	-1401.5447243980273	-14.855515560594666	-1321.1937028485686	-65.495505988863897	7.8389432718027097	1.0	1	1	22.785417297130493	0.0	92.448118562998673	13.715929858070885	3.3777037783633816	1.1075072779626038	1.7972558794488909	1.8944094879272844	3.3169224481306405	1.3034478862388208	2.5048733919229296	22.785417297130493	2.0981918141332647	8.9998917712673734	4.2891666939006967	5.3294087827725747	3.5512234056485434	5.2980053539831307	2.1233883580534045	1.2834737274669963	4.0912256071657342	4.3041950432700444	1.1539716987284159	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8774590630828267	0.0	0.0	0.0	1.8535081626391489e-06
24000	-1399.2050702197444	-14.856583705724375	-1320.3117670808131	-64.036719433206827	7.789032641814698	1.0	1	1	22.70814018232269	0.0	92.466894975158468	13.748124181794262	3.5116701767841785	1.1257674593151834	1.6659142704946817	1.6061551412916049	3.2977913760328894	1.3096301391816247	2.3801888133204456	22.70814018232269	2.241822163102948	8.940458941556491	4.139488324626571	5.0326890097485446	3.4660654979721985	5.3149371861242694	2.0524630049028478	1.3138276660339678	4.043529588303123	4.847162441816347	1.6379706625432826	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9168693166050712	0.0	0.0	0.0	1.8535081626391489e-06
25000	-1404.8874844212169	-14.895807640277965	-1325.5518533649558	-64.439823415983028	7.789032641814698	1.0	1	1	22.745437211078688	0.0	93.006835830851344	13.76791384277004	3.5843760276608152	1.06415345383962	1.9305519029639204	1.6797837780197638	3.1816402839339144	1.2677030519178469	2.3746710004234606	22.745437211078688	1.9955198743318141	8.8966121261058451	4.3941680945023283	5.0689116586441196	3.8938806675049733	5.3567336062478823	2.0897482257637834	1.5908673872198738	4.0874781940498019	4.4739563647687959	1.2215571362353006	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.658796121626628	0.0	0.0	0.0	1.8535081626391489e-06
26000	-1404.5011534623686	-14.812691356717185	-1324.912043029298	-64.776419076353477	7.7880594705004631	1.0	1	1	22.783779920270373	0.0	93.062677497060847	13.743647186472986	3.3343658795701643	1.0855769020131469	1.7935691980460124	1.7045170890742676	3.1453995214924362	1.3489193276142166	2.4005280980244921	22.783779920270373	1.9623368612954275	9.0978950637991218	4.2326504243682948	5.436863437207478	3.7442965578642506	5.6246640573404525	2.1175248290443132	1.3607457536031178	4.0752818130994175	4.5818730935032868	1.3371783509206816	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8489039320584693	0.0	0.0	0.0	1.8535081626391489e-06
27000	-1395.9849229602307	-15.442926433042427	-1316.2362549562404	-64.30574157094793	8.2971480460450557	1.0	1	1	22.699650241877162	0.0	91.881558859866914	13.711464941289723	3.4065412791238741	1.2677616685405559	1.6599292701621329	1.732209114163521	3.0371073674632676	1.3604116708934682	2.509778602975504	22.699650241877162	1.9775113090541911	8.9995126729007477	4.4000580364619877	5.0086726776322488	3.4934707038026467	5.2576769834135009	2.0287413433223067	1.3226369571123229	4.3600879458985506	4.2889838087287631	1.2795309629853922	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9201467624303201	0.0	0.0	0.0	1.8535081626391489e-06
28000	-1397.5656180240819	-15.225344498896657	-1316.9658524476067	-65.374421077578518	8.1863212778636498	1.0	1	1	22.753709531367907	0.0	91.890873554824921	13.80460460692947	3.359360875004954	1.0622268144429627	1.6916954759814748	1.5734025127479145	3.0305897133627657	1.4797561629620146	2.4295804307055482	22.753709531367907	2.0212319602624622	9.2204365689731951	4.1265117536691127	4.9560475060945315	3.4442466401411722	5.3682938470937946	2.1308075247560003	1.306027528691631	4.0537358775333487	4.3602624434198285	1.4806629611332072	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7622852449437292	0.0	0.0	0.0	1.8535081626391489e-06
29000	-1392.0947083993574	-15.368818695775943	-1312.9289818793629	-63.796907824218579	8.2685864373306259	1.0	1	1	22.807575377622314	0.0	91.602268026954349	13.700116728831727	3.36139871567618	1.149928160376906	1.8391188096277666	1.7424424932324054	3.0234975579546979	1.2688689177937118	2.3830725118352403	22.807575377622314	2.0081447476795535	8.8882596098558277	4.3653928730579548	5.0496794166330181	3.5098785112571682	5.3394194887151309	1.975589258895794	1.4359756456685884	4.2272215600848364	4.2848379192658355	1.1980177219746055	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9561360635803091	0.0	0.0	0.0	1.8535081626391489e-06
30000	-1399.6981226442863	-14.982737410491312	-1319.8229536724496	-64.892431561345347	7.8777965124941218	1.0	1	1	22.711144110155011	0.0	92.464517065163506	13.837419014231426	3.3688011316610784	1.0872680969703565	1.9122829567280331	1.6009439444665681	3.094138460342819	1.4007920002340373	2.3878088461054432	22.711144110155011	2.1281215264714231	9.4388076102613248	4.1354489560316523	4.9940660890548605	3.8459931263091938	5.2514895713796603	1.975589258895794	1.4971907522750838	4.1813520917603908	4.2964423954119386	1.2755851255023216	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9561360635803091	0.0	0.0	0.0	1.8535081626391489e-06
31000	-1397.6509460423699	-14.806556486457248	-1317.3098331718932	-65.534556384019425	7.7705663565081791	1.0	1	1	22.904508437204228	0.0	92.294553059462956	13.752675014952917	3.4437507482028247	1.0763914521730293	1.8948862028538183	1.5608484474657587	3.0755623068318885	1.3762314720158151	2.6902168059543898	22.904508437204228	1.9651690166588494	8.9782541342933797	4.4526360341624551	5.0089723656895124	3.4947195644303437	5.2863852045974102	1.972733412874262	1.4461936800176369	4.3033997067400787	4.3132516980100792	1.2539353534192232	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9561360635803091	0.0	0.0	0.0	1.8535081626391489e-06
32000	-1394.6016121348684	-14.767176222309097	-1315.9845346617055	-63.849901250853918	7.7024644964252316	1.0	1	1	22.952368574172915	0.0	92.028110076839511	13.762836873271038	3.4948563764559881	1.097146402458367	1.7362921411804313	1.6324834660726579	3.0324498445442436	1.5971022552368068	2.5423433968210394	22.952368574172915	2.018428231829696	8.9089969410302459	4.1946592740235351	5.1242791386742628	3.5997629840021066	5.2580223386646718	1.9808403729811279	1.3123247804747651	4.1939757813584997	4.324177204386503	1.2201515140713459	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9553558793661212	0.0	0.0	0.0	1.8535081626391489e-06
