"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=canis&show=coords"
"Access Time","Fri 2017-03-24 16:44:00 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","canis"
"","timerule","major"
"","taxon_status","all"
"","show","coords"
"Elapsed Time","0.025"
"Records Found","726"
"Records Returned","726"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"199643","occ","","","20615","Canis lupus","species","44860","","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","1200","-110.699997","50.099998"
"199670","occ","","","20617","Canis latrans","species","44854","","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","1766","-105.000000","37.299999"
"199686","occ","","","20619","Canis dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","1793","-110.199997","32.000000"
"199687","occ","","","20619","Canis latrans","species","44854","","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","1793","-110.199997","32.000000"
"199724","occ","","","20624","Canis cf. dirus","species","44837","","Canis dirus","species","44837","Rancholabrean","","0.3","0.012","2588","-117.800003","33.599998"
"199750","occ","9905","","20626","Canis lupus","species","44860","","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","1785","-140.000000","68.199997"
"199768","occ","","","20628","Canis cf. dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2018","-118.199997","34.000000"
"199774","occ","","","20629","Canis sp.","genus","41198","","Canis","genus","41198","Late Pleistocene","","0.126","0.0117","3567","-82.099998","29.799999"
"199827","occ","","","20635","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","3182","-106.699997","52.200001"
"199837","occ","","","20636","Canis dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3567","-81.449997","28.716667"
"199867","occ","","","20638","Canis dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3567","-82.199997","28.799999"
"199884","occ","","","20639","Canis cf. dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2588","-118.000000","34.000000"
"199912","occ","","","20641","Canis cf. dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2589","-111.199997","40.900002"
"199913","occ","","","20641","Canis latrans ?","species","44854","","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2589","-111.199997","40.900002"
"199934","occ","","","20642","Canis latrans","species","44854","","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2018","-121.500000","38.599998"
"199935","occ","","","20642","Canis dirus","species","44837","","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2018","-121.500000","38.599998"
"199948","occ","","","20644","Canis latrans","species","44854","","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2018","-120.400002","36.099998"
"199960","occ","","","20646","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2018","-118.199997","34.000000"
"200019","occ","","","20653","Canis latrans","species","44854","","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","3567","-82.199997","28.799999"
"212037","occ","","","21294","Canis cf. mesomelas","species","232943","","Canis mesomelas","species","232943","Calabrian","","1.806","0.781","4454","35.792000","4.250000"
"212321","occ","","","21377","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pliocene","Calabrian","5.333","0.781","4469","36.317001","3.975000"
"212356","occ","","","21399","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pliocene","Calabrian","5.333","0.781","4488","36.373001","4.067000"
"213110","occ","","","21690","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Holocene","","0.0117","0","4792","35.000000","-2.416700"
"213111","occ","","","21690","Canis adustus","species","232942","","Canis adustus","species","232942","Holocene","","0.0117","0","4792","35.000000","-2.416700"
"213140","occ","","","21690","Canis aureus","species","104156","","Canis aureus","species","104156","Holocene","","0.0117","0","4792","35.000000","-2.416700"
"213251","occ","","","21693","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Holocene","","0.0117","0","4805","28.666700","-24.600000"
"213252","occ","","","21693","Canis adustus","species","232942","","Canis adustus","species","232942","Holocene","","0.0117","0","4805","28.666700","-24.600000"
"213350","occ","","","21783","Canis cf. mesomelas","species","232943","","Canis mesomelas","species","232943","Piacenzian","","3.6","2.588","4847","40.583302","11.136100"
"213425","occ","","","21796","cf. Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Piacenzian","","3.6","2.588","4451","35.222198","-3.215300"
"213431","occ","","","21798","cf. Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Piacenzian","","3.6","2.588","4451","35.208302","-3.215300"
"213443","occ","","","21800","cf. Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Piacenzian","","3.6","2.588","4451","35.202801","-3.012500"
"213454","occ","","","21802","cf. Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Piacenzian","","3.6","2.588","4451","35.216702","-3.201400"
"213460","occ","","","21804","cf. Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Gelasian","","2.588","1.806","4451","35.211102","-3.218100"
"213486","occ","","","21810","cf. Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Piacenzian","","3.6","2.588","4451","35.195801","-3.251400"
"213496","occ","","","21811","cf. Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Piacenzian","","3.6","2.588","4451","35.213902","-3.212500"
"213497","occ","","","21812","cf. Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Piacenzian","","3.6","2.588","4451","35.195801","-3.255600"
"213515","occ","","","21830","Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Zanclean","Piacenzian","5.333","2.588","4451","35.206902","-3.204200"
"213525","occ","","","21831","Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Piacenzian","","3.6","2.588","4451","35.202801","-3.211100"
"213532","occ","","","21832","Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Piacenzian","","3.6","2.588","4451","35.197201","-3.186100"
"213605","occ","","","21856","Canis aureus","species","104156","","Canis aureus","species","104156","Pleistocene","Holocene","2.588","0","5211","5.916700","35.750000"
"213635","occ","","","21857","Canis aureus","species","104156","","Canis aureus","species","104156","Pleistocene","Holocene","2.588","0","5212","5.916700","35.750000"
"213641","occ","","","21857","Canis anthus","species","233548","","Canis anthus","species","233548","Pleistocene","Holocene","2.588","0","5212","5.916700","35.750000"
"213653","occ","","","21859","Canis sp.","genus","41198","","Canis","genus","41198","Pleistocene","Holocene","2.588","0","5212","5.916700","35.750000"
"213661","occ","","","21859","Canis aureus","species","104156","","Canis aureus","species","104156","Pleistocene","Holocene","2.588","0","5212","5.916700","35.750000"
"213669","occ","","","21859","Canis anthus","species","233548","","Canis anthus","species","233548","Pleistocene","Holocene","2.588","0","5212","5.916700","35.750000"
"213744","occ","","","21886","Canis aureus","species","104156","","Canis aureus","species","104156","Pleistocene","","2.588","0.0117","5209","32.950001","24.766701"
"213948","occ","","","21907","Canis aureus","species","104156","","Canis aureus","species","104156","Holocene","","0.0117","0","5221","25.500000","23.000000"
"213985","occ","","","21914","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5213","24.633301","-27.616699"
"214024","occ","","","21920","Canis sp.","genus","41198","","Canis","genus","41198","Pleistocene","","2.588","0.0117","5213","24.633301","-27.616699"
"214181","occ","","","21953","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5252","18.000000","-33.000000"
"214225","occ","","","21961","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Calabrian","","1.806","0.781","5261","27.721100","-26.016899"
"216895","occ","","","22074","Canis sp.","genus","41198","","Canis","genus","41198","Pleistocene","Holocene","2.588","0","5325","29.823000","1.374000"
"217610","occ","","","22220","cf. Canis sp.","genus","41198","","Canis","genus","41198","Miocene","Pliocene","23.03","2.588","5401","18.150000","-32.976002"
"217674","occ","","","22221","aff. Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Zanclean","","5.333","3.6","5391","18.150000","-32.976002"
"218780","occ","","","22340","cf. Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Late Pliocene","","3.6","2.588","4932","28.950001","-24.200001"
"219129","occ","","","22489","Canis aureus","species","104156","","Canis aureus","species","104156","Pleistocene","","2.588","0.0117","5619","-6.081400","34.435600"
"219376","occ","","","22513","Canis sp.","genus","41198","","Canis","genus","41198","Pleistocene","","2.588","0.0117","5225","33.000000","24.500000"
"219803","occ","","","22596","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Gelasian","","2.588","1.806","5276","35.373600","-2.980600"
"219873","occ","","","22628","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Early Pleistocene","","2.588","0.781","5653","35.344398","-2.986100"
"220361","occ","","","21862","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5216","18.866699","-34.150002"
"220373","occ","","","21866","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5218","25.916700","-30.416700"
"220429","occ","","","21871","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5220","36.250000","15.250000"
"220484","occ","","","21877","Canis aureus","species","104156","","Canis aureus","species","104156","Pleistocene","","2.588","0.0117","5221","28.900000","22.900000"
"220517","occ","","","21883","Canis lupes","species","41198","species not entered","Canis","genus","41198","Pleistocene","Holocene","2.588","0","5221","30.726400","22.516701"
"220528","occ","","","21894","Canis familiaris","species","104153","","Canis familiaris","species","104153","Holocene","","0.0117","0","5210","31.933300","-14.402200"
"220617","occ","","","21897","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Holocene","","0.0117","0","5214","23.716700","-28.799999"
"220656","occ","","","21911","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5213","24.633301","-27.616699"
"220672","occ","","","21912","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5214","25.866699","-30.233299"
"220690","occ","","","21915","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5214","23.555300","-27.845800"
"220707","occ","","","21916","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5235","24.400000","-34.099998"
"220761","occ","","","21918","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Holocene","","0.0117","0","5234","24.400000","-34.099998"
"220800","occ","","","21931","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5241","18.683300","-34.083302"
"220871","occ","","","21946","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5214","27.633301","-29.083300"
"220896","occ","","","21948","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5246","22.183300","-33.533298"
"220973","occ","","","21950","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5249","21.866699","-33.511101"
"221007","occ","","","21951","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5250","19.466700","-34.583302"
"221048","occ","","","21954","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5232","18.250000","-33.083302"
"221315","occ","","","21276","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430","36.167000","-1.767000"
"221316","occ","","","21276","Canis adustus","species","232942","","Canis adustus","species","232942","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430","36.167000","-1.767000"
"221317","occ","","","21276","Canis sp.","genus","41198","","Canis","genus","41198","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430","36.167000","-1.767000"
"221353","occ","","","21277","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430","36.167000","-1.767000"
"221354","occ","","","21277","Canis sp.","genus","41198","","Canis","genus","41198","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430","36.167000","-1.767000"
"221548","occ","","","21296","Canis cf. mesomelas","species","232943","","Canis mesomelas","species","232943","Calabrian","","1.806","0.781","4454","35.776001","4.176000"
"221577","occ","","","21302","Canis cf. mesomelas","species","232943","","Canis mesomelas","species","232943","Gelasian","","2.588","1.806","4454","35.724998","4.050000"
"224495","occ","","","21791","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pliocene","Calabrian","5.333","0.781","4867","27.733299","-26.016701"
"224530","occ","","","21791","Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Pliocene","Calabrian","5.333","0.781","4867","27.733299","-26.016701"
"224975","occ","","","21822","Canis cf. terblanchei","species","41198","species not entered","Canis","genus","41198","Calabrian","","1.806","0.781","4867","27.733601","-26.016701"
"225019","occ","","","21824","Canis cf. mesomelas","species","232943","","Canis mesomelas","species","232943","Early Pleistocene","","2.588","0.781","4896","27.720800","-26.016701"
"225040","occ","","","21824","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Early Pleistocene","","2.588","0.781","4896","27.720800","-26.016701"
"225084","occ","","","21825","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","4892","27.720800","-26.016701"
"225106","occ","","","21825","Canis cf. mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","4892","27.720800","-26.016701"
"225172","occ","","","21826","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pliocene","Pleistocene","5.333","0.0117","4868","27.720800","-26.016701"
"225190","occ","","","21827","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pliocene","","5.333","2.588","4895","27.720800","-26.016701"
"225238","occ","","","21828","Canis cf. mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","4888","27.720800","-26.016701"
"225303","occ","","","21829","Canis cf. mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","4895","27.720800","-26.016701"
"225604","occ","","","21865","Canis aureus","species","104156","","Canis aureus","species","104156","Pleistocene","Holocene","2.588","0","5217","20.533300","32.133301"
"225624","occ","","","21884","Canis lupes","species","41198","species not entered","Canis","genus","41198","Pleistocene","Holocene","2.588","0","5223","22.166700","32.866699"
"225642","occ","","","21902","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5230","33.750000","16.250000"
"225673","occ","","","21903","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5230","33.750000","16.250000"
"225737","occ","","","21921","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5218","18.833300","-33.383301"
"225754","occ","","","21922","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5236","18.833300","-33.383301"
"225779","occ","","","21924","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5237","28.750000","-15.416700"
"225845","occ","","","21929","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5238","17.950001","-33.023102"
"226004","occ","","","21952","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5251","19.376802","-34.546085"
"226061","occ","","","21956","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5255","24.616699","-27.616699"
"226127","occ","","","21957","Canis lupes","species","41198","species not entered","Canis","genus","41198","Pleistocene","Holocene","2.588","0","5237","25.650000","-33.599998"
"226130","occ","","","21958","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5230","33.750000","16.250000"
"226177","occ","","","21960","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pliocene","Pleistocene","5.333","0.0117","5260","27.500000","-26.500000"
"226230","occ","","","21963","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5266","36.250000","-1.750000"
"226231","occ","","","21963","Canis adustus","species","232942","","Canis adustus","species","232942","Pleistocene","","2.588","0.0117","5266","36.250000","-1.750000"
"226232","occ","","","21963","Canis sp.","genus","41198","","Canis","genus","41198","Pleistocene","","2.588","0.0117","5266","36.250000","-1.750000"
"226787","occ","","","22066","Canis sp.","genus","41198","","Canis","genus","41198","Pleistocene","Holocene","2.588","0","5321","29.600000","0.133300"
"227011","occ","","","22073","Canis sp.","genus","41198","","Canis","genus","41198","Holocene","","0.0117","0","5324","29.823099","1.231400"
"227664","occ","","","22229","cf. Canis sp.","genus","41198","","Canis","genus","41198","Miocene","Pliocene","23.03","2.588","5408","18.150000","-32.976002"
"228015","occ","","","22329","Canis sp.","genus","41198","","Canis","genus","41198","Pliocene","Pleistocene","5.333","0.0117","4884","27.750000","-26.000000"
"228035","occ","","","22330","Canis sp.","genus","41198","","Canis","genus","41198","Pliocene","Pleistocene","5.333","0.0117","4891","27.750000","-26.000000"
"228055","occ","","","22332","Canis sp.","genus","41198","","Canis","genus","41198","Pliocene","Pleistocene","5.333","0.0117","5531","27.750000","-26.000000"
"228087","occ","","","22334","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Pliocene","Pleistocene","5.333","0.0117","4885","27.750000","-26.000000"
"228132","occ","","","22334","Canis terblanchei","species","41198","species not entered","Canis","genus","41198","Pliocene","Pleistocene","5.333","0.0117","4885","27.750000","-26.000000"
"228331","occ","","","22340","Canis cf. adustus","species","232942","","Canis adustus","species","232942","Late Pliocene","","3.6","2.588","4932","28.950001","-24.200001"
"339251","occ","","","32050","aff. Canis brevirostris","species","41198","species not entered","Canis","genus","41198","Pliocene","","5.333","2.588","4451","35.130001","-3.130000"
"339309","occ","","","32051","Canis mesomelas","species","232943","","Canis mesomelas","species","232943","Early Pleistocene","","2.588","0.781","10211","36.349998","4.083333"
"339335","occ","","","32052","Canis aff. aureus","species","104156","","Canis aureus","species","104156","Late Pliocene","","3.6","2.588","5595","-7.650000","33.583332"
"340885","occ","","","32145","Canis cf. falconeri","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","8655","22.033333","46.966667"
"341749","occ","","","32195","Canis sp.","genus","41198","","Canis","genus","41198","Early Pleistocene","","2.588","0.781","8655","22.033333","46.966667"
"356210","occ","","","33973","Canis mosbachensis ?","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","8655","22.033333","46.966667"
"356272","occ","","","33974","Canis mosbachensis","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","8655","22.033333","46.966667"
"357127","occ","","","33975","Canis mosbachensis","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","8655","22.033333","46.966667"
"357185","occ","","","34009","Canis mosbachensis","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","8655","22.033333","46.966667"
"357217","occ","","","34010","Canis mosbachensis","species","41198","species not entered","Canis","genus","41198","Middle Pleistocene","","0.781","0.126","8655","22.033333","46.966667"
"358468","occ","11022","","34102","Canis lupus","species","44860","","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","10946","69.966667","38.349998"
"358553","occ","11023","","34104","Canis lupus","species","44860","","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","10946","69.966667","38.349998"
"358632","occ","","","34105","Canis sp.","genus","41198","","Canis","genus","41198","Middle Pleistocene","","0.781","0.126","8978","36.750000","35.133331"
"360258","occ","","","34127","Canis mosbachensis","species","41198","species not entered","Canis","genus","41198","Pleistocene","","2.588","0.0117","8650","5.600000","50.483334"
"361611","occ","","","22239","cf. Canis sp.","genus","41198","","Canis","genus","41198","Pliocene","","5.333","2.588","8636","36.049999","2.900000"
"361746","occ","13597","","34269","Canis latrans","species","44854","","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","14678","-80.397499","27.638332"
"361747","occ","","","34269","Canis sp.","genus","41198","","Canis","genus","41198","Late Pleistocene","","0.126","0.0117","9009","-80.397499","27.638332"
"361891","occ","","","34287","Canis aff. adustus","species","232942","","Canis adustus","species","232942","Pleistocene","","2.588","0.0117","9013","-7.583333","33.583332"
"362182","occ","","","34329","Canis aff. adustus","species","232942","","Canis adustus","species","232942","Pleistocene","","2.588","0.0117","9013","-7.583333","33.583332"
"362197","occ","","","34330","Canis aff. adustus","species","232942","","Canis adustus","species","232942","Middle Pleistocene","","0.781","0.126","9013","-7.583333","33.583332"
"362966","occ","","","34382","Aenocyon sp.","genus","43787","subjective synonym of","Canis","genus","41198","Middle Pleistocene","","0.781","0.126","9039","-101.186203","42.118900"
"363572","occ","","","34444","""Canis"" kuruksaensis","species","41198","species not entered","Canis","genus","41198","Pliocene","","5.333","2.588","9043","69.666946","38.310833"
"363597","occ","","","34445","Canis ex gr. etruscus","species","41198","species not entered","Canis","genus","41198","Pliocene","","5.333","2.588","9043","68.000000","38.000000"
"363600","occ","","","34446","Canis etruscus","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9043","79.000000","45.000000"
"363611","occ","","","34447","Canis ex gr. etruscus","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9043","78.000000","44.000000"
"365332","occ","","","34617","Canis etruscus","species","41198","species not entered","Canis","genus","41198","Villanyian","Pleistocene","3.2","0.0117","9135","23.150000","40.683334"
"365333","occ","","","34617","Canis arnensis","species","41198","species not entered","Canis","genus","41198","Villanyian","Pleistocene","3.2","0.0117","9135","23.150000","40.683334"
"366131","occ","","","34667","Canis sp.","genus","41198","","Canis","genus","41198","Pleistocene","","2.588","0.0117","9176","123.433334","41.166668"
"367530","occ","","","34764","Canis sp.","genus","41198","","Canis","genus","41198","Villanyian","Pleistocene","3.2","0.0117","9135","21.799999","37.983334"
"367573","occ","","","34766","Canis lupus","species","44860","","Canis lupus","species","44860","Early Pleistocene","","2.588","0.781","9135","21.600000","37.516666"
"367688","occ","","","34782","Canis etruscus","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9135","22.950001","39.366669"
"367689","occ","","","34782","Canis arnensis","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9135","22.950001","39.366669"
"367690","occ","","","34782","Canis sp.","genus","41198","","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9135","22.950001","39.366669"
"367716","occ","","","34783","Canis arnensis","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9135","23.466667","40.566666"
"367723","occ","","","34784","Canis etruscus","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9135","23.466667","40.566666"
"367724","occ","","","34784","Canis arnensis","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9135","23.466667","40.566666"
"367725","occ","","","34784","Canis n. sp. apolloniensis","species","55004","","Canis apolloniensis","species","55004","Early Pleistocene","","2.588","0.781","9136","23.466667","40.566666"
"367726","occ","","","34784","Canis (Xenocyon) sp.","subgenus","41198","obsolete variant of","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9135","23.466667","40.566666"
"367963","occ","","","34808","Canis lupus","species","44860","","Canis lupus","species","44860","Early Pleistocene","Middle Pleistocene","2.588","0.126","9135","22.950001","39.366669"
"368589","occ","","","34872","Canis mosbachensis","species","41198","species not entered","Canis","genus","41198","Pleistocene","","2.588","0.0117","9345","-3.518889","42.352501"
"368996","occ","","","34898","Canis etruscus","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9343","-2.466667","37.716667"
"368997","occ","","","34898","Canis (Xenocyon) falconeri","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9364","-2.466667","37.716667"
"369045","occ","","","34911","Canis etruscus","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9372","-0.866667","37.616669"
"369171","occ","","","34920","Canis mosbachensis","species","41198","species not entered","Canis","genus","41198","Pleistocene","","2.588","0.0117","9345","-3.518889","42.352501"
"369192","occ","","","34925","Canis mosbachensis","species","41198","species not entered","Canis","genus","41198","Middle Pleistocene","","0.781","0.126","9345","-3.518889","42.352501"
"369203","occ","","","34926","Canis lupus","species","44860","","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9345","3.518889","42.352501"
"369226","occ","","","34927","Canis lupus","species","44860","","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9345","-3.518889","42.352501"
"369252","occ","","","34929","Canis etruscus","species","41198","species not entered","Canis","genus","41198","Villanyian","","3.2","2.588","9381","-0.150000","39.849998"
"369699","occ","","","34985","Canis etruscus","species","41198","species not entered","Canis","genus","41198","Middle Pleistocene","","0.781","0.126","9390","-2.566667","37.583332"
"370245","occ","","","35045","Canis cf. spelaeus","species","41198","species not entered","Canis","genus","41198","Middle Pleistocene","","0.781","0.126","9309","20.500000","48.083332"
"370428","occ","","","35076","Canis aff. etruscus","species","41198","species not entered","Canis","genus","41198","Pliocene","Pleistocene","5.333","0.0117","9424","0.383333","43.133331"
"370531","occ","","","35078","Canis etruscus","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","Middle Pleistocene","2.588","0.126","9469","-2.533333","37.816666"
"373551","occ","","","35358","Canis aff. arnensis","species","41198","species not entered","Canis","genus","41198","Villanyian","","3.2","2.588","9534","20.750000","48.516666"
"374161","occ","","","35369","Canis mosbachensis","species","41198","species not entered","Canis","genus","41198","Villanyian","","3.2","2.588","9534","18.450001","45.866669"
"374162","occ","","","35369","Canis lupus","species","44860","","Canis lupus","species","44860","Villanyian","","3.2","2.588","9534","18.450001","45.866669"
"374262","occ","","","35371","Canis sp.","genus","41198","","Canis","genus","41198","Villanyian","","3.2","2.588","9534","18.450001","45.866669"
"374338","occ","","","35374","Canis sp.","genus","41198","","Canis","genus","41198","Villanyian","","3.2","2.588","9534","18.383333","46.966667"
"375048","occ","","","35428","Canis sp.","genus","41198","","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9534","20.750000","48.516666"
"375148","occ","","","35431","Canis aff. arnensis","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9534","20.750000","48.516666"
"375514","occ","","","35442","Canis lupus","species","44860","","Canis lupus","species","44860","Early Pleistocene","","2.588","0.781","9534","18.400000","45.833332"
"375515","occ","","","35442","Canis (Thos ?) sp.","subgenus","41198","obsolete variant of","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9534","18.400000","45.833332"
"375632","occ","","","35457","Canis mosbachensis","species","41198","species not entered","Canis","genus","41198","Early Pleistocene","","2.588","0.781","9534","18.450001","45.866669"
"375892","occ","","","35467","Canis cf. mosbachensis","species","41198","species not entered","Canis","genus","41198","Middle Pleistocene","","0.781","0.126","9534","18.450001","45.866669"
"375995","occ","","","35472","Canis cf. kronstadtensis","species","41198","species not entered","Canis","genus","41198","Middle Pleistocene","","0.781","0.126","9534","20.533333","48.049999"
"379666","occ","","","35907","Canis lupus","species","44860","","Canis lupus","species","44860","Early Pleistocene","Middle Pleistocene","2.588","0.126","9643","16.799999","49.400002"
"380822","occ","","","36134","Canis cf. lupus","species","44860","","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9695","12.300000","41.883331"
"381189","occ","","","36206","Canis lupus","species","44860","","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9643","11.316667","51.400002"
"381231","occ","","","22728","Canis lupus","species","44860","","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","9643","11.383300","50.983299"
