lng,lat
35.049999,32.716667
-84.800003,34.200001
-101.900002,35.000000
-97.728897,42.821400
-98.800003,42.700001
-100.500000,40.500000
-101.400002,36.700001
-85.791946,40.454445
-97.846298,42.806801
-81.800003,27.900000
-100.666664,21.083332
-104.099998,20.200001
-108.000000,28.799999
-119.716110,45.840000
-114.300003,37.799999
-120.199722,45.716946
-120.199722,45.716946
-117.000000,33.900002
-107.000000,36.500000
-110.599998,32.500000
-110.099998,35.799999
-113.400002,34.700001
-112.400002,35.700001
-110.199997,32.000000
-110.199997,32.000000
-110.199997,32.000000
-110.199997,32.000000
-110.199997,32.000000
-109.599998,33.000000
-109.599998,33.000000
-109.599998,33.000000
-122.199997,40.000000
-117.000000,33.900002
-82.099998,29.799999
-82.449997,27.366667
-82.599998,29.700001
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-114.900002,42.799999
-118.000000,43.000000
-118.000000,43.000000
-118.000000,43.000000
-100.300003,37.200001
-100.300003,37.200001
-100.300003,37.200001
-100.300003,37.200001
-100.300003,37.200001
-100.300003,37.200001
-100.483330,37.133331
-98.234444,42.378334
-103.099998,41.700001
-102.400002,41.400002
-102.400002,41.400002
-103.800003,41.799999
-100.000000,42.700001
-114.300003,37.799999
-106.699997,32.000000
-106.699997,32.000000
-101.099998,33.700001
-101.633331,34.883331
-102.500000,35.400002
-105.199997,31.500000
-100.916664,32.716667
-118.500000,47.000000
-107.400002,28.500000
-117.099998,32.900002
-117.099998,32.900002
-117.099998,32.900002
-117.099998,32.900002
-117.099998,32.900002
-117.099998,32.900002
-117.099998,32.900002
-117.099998,32.900002
-117.099998,32.900002
-117.099998,32.900002
-117.099998,32.900002
