"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=Strigiformes&limit=100"
"Access Time","Fri 2017-02-03 20:09:28 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Strigiformes"
"","timerule","major"
"","taxon_status","all"
"","limit","100"
"Elapsed Time","0.00155"
"Records Found","216"
"Records Returned","100"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"149835","occ","","","13264","Ornimegalonyx oteroi","species","290147","","Ornimegalonyx oteroi","species","290147","Pleistocene","","2.588","0.0117","4396"
"220047","occ","","","16296","Strigiformes indet.","order","39397","","Strigiformes","order","39397","Bridgerian","","50.3","46.2","5778"
"221113","occ","","","22333","Tyto sp.","genus","39409","","Tyto","genus","39409","Pliocene","Pleistocene","5.333","0.0117","4884"
"225385","occ","","","21831","Bubo sp.","genus","58496","","Bubo","genus","58496","Piacenzian","","3.6","2.588","4451"
"225706","occ","","","21903","Strigidae indet.","family","39403","","Strigidae","family","39403","Holocene","","0.0117","0","5230"
"226902","occ","","","22068","Bubo lacteus","species","58496","species not entered","Bubo","genus","58496","Pleistocene","Holocene","2.588","0","5320"
"229020","occ","","","22596","Bubo leakyae","species","58496","species not entered","Bubo","genus","58496","Gelasian","","2.588","1.806","5276"
"296460","occ","","","28364","Tyto novaehollandiae","species","39409","species not entered","Tyto","genus","39409","Middle Pleistocene","","0.781","0.126","7795"
"339283","occ","","","32050","Bubo sp.","genus","58496","","Bubo","genus","58496","Pliocene","","5.333","2.588","4451"
"358668","occ","","","22241","Strigidae indet.","family","39403","","Strigidae","family","39403","Tortonian","","11.62","7.246","8636"
"360299","occ","","","34127","Strigiformes ? indet.","order","39397","","Strigiformes","order","39397","Pleistocene","","2.588","0.0117","8650"
"360335","occ","","","34128","Otus scops","species","39406","species not entered","Otus","genus","39406","Pleistocene","","2.588","0.0117","8987"
"360336","occ","","","34128","Athene noctua","species","94499","species not entered","Athene","genus","94499","Pleistocene","","2.588","0.0117","8987"
"360337","occ","","","34128","Strix aluco","species","39404","species not entered","Strix","genus","39404","Pleistocene","","2.588","0.0117","8987"
"361683","occ","","","34269","Tyto pratincola","species","39409","species not entered","Tyto","genus","39409","Late Pleistocene","","0.126","0.0117","9008"
"370520","occ","","","35078","Bubo bubo","species","58496","species not entered","Bubo","genus","58496","Early Pleistocene","Middle Pleistocene","2.588","0.126","9468"
"373520","occ","","","35358","Bubo sp.","genus","58496","","Bubo","genus","58496","Villanyian","","3.2","2.588","9534"
"373521","occ","","","35358","Athene veta","species","227177","","Athene veta","species","227177","Villanyian","","3.2","2.588","9534"
"373522","occ","","","35358","Surnia robusta","species","130718","species not entered","Surnia","genus","130718","Villanyian","","3.2","2.588","9534"
"374121","occ","","","35369","Bubo sp.","genus","58496","","Bubo","genus","58496","Villanyian","","3.2","2.588","9534"
"374122","occ","","","35369","Surnia robusta","species","130718","species not entered","Surnia","genus","130718","Villanyian","","3.2","2.588","9534"
