"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=canis&taxon_reso=species&limit=100"
"Access Time","Fri 2017-02-03 22:01:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","canis"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"","limit","100"
"Elapsed Time","0.0168"
"Records Found","473"
"Records Returned","100"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"194838","occ","","","19981","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2618"
"194983","occ","","","20023","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1309"
"195063","occ","","","20033","Canis n. sp. lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2044"
"195093","occ","","","20034","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673"
"195134","occ","30194","","20050","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","52058"
"195215","occ","30195","","20060","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","52058"
"195263","occ","","","20062","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","3382"
"195346","occ","9025","","20074","Canis edwardii","species","44838","","Canis edwardii","species","44838","Blancan","","4.9","1.8","2673"
"195542","occ","","","20112","Canis latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","1186"
"195581","occ","9093","","20115","Canis rufus","species","44879","","Canis rufus","species","44879","Blancan","","4.9","1.8","6294"
"195614","occ","","","20117","Canis latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","1186"
