Canis dirus,species,1.8,0.3,-102.300003,21.799999
Canis dirus,species,1.8,0.3,-103.199997,20.299999
Canis latrans,species,1.8,0.3,-103.199997,20.299999
Canis armbrusteri,species,1.8,0.3,-82.070274,28.799168
Canis latrans,species,1.8,0.3,-93.199997,36.000000
Canis armbrusteri,species,1.8,0.3,-93.199997,36.000000
Canis latrans,species,1.8,0.3,-98.099998,39.799999
Canis dirus,species,1.8,0.3,-100.300003,37.200001
Canis latrans,species,1.8,0.3,-100.300003,37.200001
Canis lupus,species,1.8,0.3,-147.800003,64.800003
Canis edwardii,species,1.8,0.3,-82.199997,28.799999
Canis edwardii,species,1.8,0.3,-100.300003,37.200001
Canis armbrusteri,species,1.8,0.3,-78.699997,39.599998
Canis latrans,species,1.8,0.3,-78.699997,39.599998
Canis edwardii,species,4.9,1.8,-110.199997,32.000000
Canis edwardii,species,1.8,0.3,-81.821114,27.041668
Canis edwardii,species,1.8,0.3,-117.000000,33.900002
Canis lepophagus,species,4.9,1.8,-114.500000,31.700001
Canis latrans,species,1.8,0.012,-117.800003,33.599998
Canis latrans,species,1.8,0.3,-120.195831,37.056667
Canis dirus,species,1.8,0.3,-120.195831,37.056667
Canis latrans,species,1.8,0.3,-105.699997,39.299999
Canis edwardii,species,1.8,0.3,-105.699997,39.299999
Canis edwardii,species,1.8,0.3,-82.000000,26.900000
Canis,genus,1.8,0.012,-117.000000,34.799999
Canis latrans,species,1.8,0.3,-99.500000,33.750000
Canis armbrusteri,species,1.8,0.3,-99.500000,33.750000
Canis lupus,species,1.8,0.3,-147.800003,64.800003
Canis dirus,species,1.8,0.3,-102.500000,42.700001
Canis latrans,species,1.8,0.3,-102.500000,42.700001
Canis armbrusteri,species,1.8,0.3,-82.099998,29.799999
Canis edwardii,species,1.8,0.3,-82.099998,29.799999
Canis,genus,0.781,0.126,-105.750000,37.366669
Canis,genus,1.8,0.3,-102.500000,42.700001
Canis dirus,species,1.8,0.3,-102.500000,42.700001
Canis edwardii,species,4.9,1.8,-82.680000,29.000000
Canis dirus,species,1.8,0.3,-122.000000,37.599998
Canis latrans,species,1.8,0.3,-122.000000,37.599998
Canis dirus,species,0.3,0.012,-82.199997,28.799999
Canis edwardii,species,1.8,0.3,-82.500000,27.700001
Canis armbrusteri,species,1.8,0.3,-82.500000,27.700001
Canis armbrusteri,species,1.8,0.3,-82.500000,27.700001
Canis armbrusteri,species,1.8,0.3,-82.599998,29.400000
Canis,genus,1.8,0.3,-110.699997,50.099998
Canis dirus,species,1.8,0.012,-80.500000,28.100000
Canis lupus,species,1.8,0.3,-140.000000,68.199997
Canis latrans,species,1.8,0.3,-117.000000,33.900002
Canis latrans,species,1.8,0.3,-105.699997,39.299999
Canis,genus,1.8,0.3,-75.300003,40.200001
Canis armbrusteri,species,1.8,0.3,-75.300003,40.200001
Canis latrans,species,0.3,0.012,-82.300003,29.100000
Canis dirus,species,0.3,0.012,-82.300003,29.100000
Canis edwardii,species,1.8,0.3,-82.199997,27.000000
Canis armbrusteri,species,1.8,0.3,-101.300003,34.500000
Canis latrans,species,1.8,0.3,-101.300003,34.500000
Canis edwardii,species,1.8,0.3,-117.500000,43.599998
Canis dirus,species,1.8,0.3,-102.500000,42.700001
Canis dirus,species,1.8,0.3,-103.099998,43.799999
Canis,genus,1.8,0.3,-107.000000,36.500000
Canis rufus,species,1.8,0.3,-107.000000,36.500000
Canis latrans,species,1.8,0.3,-107.000000,36.500000
Canis dirus,species,1.8,0.3,-82.599998,29.700001
Canis edwardii,species,1.8,0.3,-117.000000,33.900002
Canis latrans,species,1.8,0.3,-101.900002,33.700001
